Identificador/Fecha,Documento/Asunto,Link
20141216,MexicoÕs Federal Prosecutor Makes First Disclosure on Police the San Fernando Massacres and Police Connections to Drug Cartels,https://drive.google.com/open?id=0B3wuz7S3S9urME5aVU9PZGhPSzQ&authuser=0
20070825,RR Shutdown slow but doesn«t stop central americans head north,https://drive.google.com/open?id=0B3wuz7S3S9urYUJLZWU5eFpzM2M&authuser=0
20100319,Continuing cartel-related violence in the Monterrey consular district ,https://drive.google.com/open?id=0B3wuz7S3S9urNlBabnhYT09GZ2c&authuser=0
20100323,Nuevo Leon citizens wonder how«s is winning in the fight againts organized crime,https://drive.google.com/open?id=0B3wuz7S3S9urNXEtcV90bVo1bjA&authuser=0
20100326,Tec Students killings a Watershed event for Monterrey ,https://drive.google.com/open?id=0B3wuz7S3S9urQ2wwbUV5djBXRjA&authuser=0
20100416,Narcotics affairs section Mexico monthly report for march 2010,https://drive.google.com/open?id=0B3wuz7S3S9urNDF4M3p3Skg3LWc&authuser=0
20100800ca,State of Cartels,https://drive.google.com/open?id=0B3wuz7S3S9urWnhGTmc4azRxSDg&authuser=0
20100826,Zetas masacre 72 migrants in Tamaulipas,https://drive.google.com/open?id=0B3wuz7S3S9urN2JoWnRtXzlFTzg&authuser=0
20100827,"Timeline of violent events ocurring in Matamoras counsular district auguts 22 - 27, 2010",https://drive.google.com/open?id=0B3wuz7S3S9urcVM1RlJPWlNJYlU&authuser=0
20100831,Tamaulipas masacre seizes front page in El Salvador,https://drive.google.com/open?id=0B3wuz7S3S9urY3FmdnBzMXRyMDQ&authuser=0
20100903,"Timeline of major violent events ocurring in Matamoros consular district August 29 - September 3, 2010",https://drive.google.com/open?id=0B3wuz7S3S9urTTVaSVcxUm45dlU&authuser=0
20100907,Mexico presents ------- Migrant Protection Plan,https://drive.google.com/open?id=0B3wuz7S3S9urTnJVTXRuZXVmQ0k&authuser=0
20100910,"Timeline of major violent events ocurring in Matamoros consular district September 4 trought September 10 , 2010",https://drive.google.com/open?id=0B3wuz7S3S9urVlJlT25rRnU5aGs&authuser=0
20101216,"Mass murder extortion, and abuse conducted by los Zetas againts migrants who traveled via los Zetas and MS-13 controlled train",https://drive.google.com/open?id=0B3wuz7S3S9urazR5b2tfRHEzcEk&authuser=0
20110131,A perilous road trough Mexico for migrants,https://drive.google.com/open?id=0B3wuz7S3S9urQVpJX29TaFo4NnM&authuser=0
20110205,"Secretary Clinton«s January 24, 2011 conversation with Mexican Foreign Secretary Espinosa",https://drive.google.com/open?id=0B3wuz7S3S9urVjRBRDJFNkJxeXM&authuser=0
20110215,February 14: A Day of violence in Tamaulipas,https://drive.google.com/open?id=0B3wuz7S3S9urLTdDNmZJVmU1bVk&authuser=0
20110406,Two mass graves containig 48 bodies discovered in The San Fernando area ,https://drive.google.com/open?id=0B3wuz7S3S9urSzJ4UXVNajRjTTA&authuser=0
20110408,More mass graves found in Tamaulipas: Body total now 81 ,https://drive.google.com/open?id=0B3wuz7S3S9urdG1aRGQtcWxTSWc&authuser=0
20110415,Tamaulipas Mass Grave Body count reaches 145,https://drive.google.com/open?id=0B3wuz7S3S9urNjVsYmFhdkpnZ1U&authuser=0
20110429,Holy week vacations marred by violence / San Fernando body count reaches 196,https://drive.google.com/open?id=0B3wuz7S3S9urbVdFS0xBa2tXMHM&authuser=0
20110502,Mexican Civilian Society pac proposal to drug cartels,https://drive.google.com/open?id=0B3wuz7S3S9urdVZXUWw4U1pLaEk&authuser=0
20110513,Mexican Army seizes weapons of local police in Tamaulipas,https://drive.google.com/open?id=0B3wuz7S3S9urNjRsQ1hnN3NfOHM&authuser=0
20110516,Narcotics affairs section Mexico monthly report for april 2011,https://drive.google.com/open?id=0B3wuz7S3S9urMndxbjBVeTUwNDg&authuser=0
20110607,No Subject -----,https://drive.google.com/open?id=0B3wuz7S3S9uraVBUM2FLc0ZqcGM&authuser=0
20110613,Narcotics affairs section Mexico monthly report for may 2011,https://drive.google.com/open?id=0B3wuz7S3S9urNW4tQWJYTnFrUzQ&authuser=0
20120203,Mexican political highlights january 28 - february 3 -2012,https://drive.google.com/open?id=0B3wuz7S3S9uraWNtOEt3b04tcmc&authuser=0
20120504ca,"Fourteen decapitated bodies discovered in Nuevo Laredo, Tamaulipas Mexico",https://drive.google.com/open?id=0B3wuz7S3S9urTXI2cG9nYWpYTWs&authuser=0
20120522,Sinaloa cartel offensive posture againts Los Zetas and its implications to Nuevo Laredo plaza 21/may/2012,https://drive.google.com/open?id=0B3wuz7S3S9urbHFxV0tESWtUY28&authuser=0
20071019,CNDH discusessits recomendations to SEDENA,https://drive.google.com/open?id=0B3wuz7S3S9urQjdQZVFTbDhzaFk&authuser=0
20080710,Assesing Mexican military«s Human Rights Track Record,https://drive.google.com/open?id=0B3wuz7S3S9urQjBvcTB0Qzh4b00&authuser=0
20080729,New Military Human Rights directorate still a work in progress ,https://drive.google.com/open?id=0B3wuz7S3S9urbjduR1M5X3lHLUE&authuser=0
20090113,SEDENA response to Washington post article alleging military violations of Human Rights date 14 apr 08,https://drive.google.com/open?id=0B3wuz7S3S9urWVA1ZGVBUmtwYVE&authuser=0
20090507,SEDENA response to  Human Rights allegations,https://drive.google.com/open?id=0B3wuz7S3S9urQVhSd29RT083Y2M&authuser=0
20111006,Mexican Human Rights Commission President ----,https://drive.google.com/open?id=0B3wuz7S3S9urbi1ldEt2dWVxcUE&authuser=0
