Identificador,Asunto,Link
10NUEVOLAREDO56,NUEVO LAREDO EMERGENCY ACTION COMMITTEE MEETING 02/27/10 ,https://drive.google.com/open?id=0B3wuz7S3S9urcDlpdGwwZzhvNjQ&authuser=0
10NUEVOLAREDO44,Major Gun Battle Between Mexican Army and Zetas at International Bridge ,https://drive.google.com/open?id=0B3wuz7S3S9urOVFXSlc0Mk9SUVU&authuser=0
10MONTERREY66,Grenade Attacks Against Monterrey Police; Feb. 26 and 28th EACs ,https://drive.google.com/open?id=0B3wuz7S3S9urZ1BFZE1hNWhBbm8&authuser=0
10MONTERREY43,BORDER VIOLENCE SPREADS TO NUEVO LEON,https://drive.google.com/open?id=0B3wuz7S3S9urUVhkTTRFdk56aW8&authuser=0
10MEXICO93,"SONORA, MX - UNHOLY TRUCE AT THE BREAKING POINT? ",https://drive.google.com/open?id=0B3wuz7S3S9urT1N4akwxd2pEbnM&authuser=0
10MEXICO518,"CALDERON VISITS JUAREZ, ANNOUNCES NEW STRATEGY ",https://drive.google.com/open?id=0B3wuz7S3S9urazVvTy1rbUV5aE0&authuser=0
10MEXICO294,"Murder of Juarez ""Human Rights Activist"" Clouded by Drug Ties ",https://drive.google.com/open?id=0B3wuz7S3S9urdjBWYk5jMF9QcEU&authuser=0
10MEXICO111,"DHS SECRETARY NAPOLITANO'S MEETING WITH PRESIDENT CALDERON, FEBRUARY 17",https://drive.google.com/open?id=0B3wuz7S3S9urTEdXeENfVWl1RW8&authuser=0
20090700ca ,Zetas Evolution,https://drive.google.com/file/d/0B3wuz7S3S9urX285b0xUdjhyS0k/view?usp=sharing
20100324,Matamoros emergency action committee,https://drive.google.com/file/d/0B3wuz7S3S9ureVJMaEQ5YmZjaU0/view?usp=sharing
20100528,Arrest of kaibiles in tamaulipas,https://drive.google.com/file/d/0B3wuz7S3S9urMHNpNHRfRklkMjg/view?usp=sharing
20100700ca,"GFM7-10-9448, Southwest Border Intelligence Collection Plan",https://drive.google.com/file/d/0B3wuz7S3S9urQmJNRmdzZnA1bms/view?usp=sharing
20110420,DEA-ElKilo,https://drive.google.com/file/d/0B3wuz7S3S9urdUxydkMybHpBc0U/view?usp=sharing
20111007, Law enforcement involved in smuggling,https://drive.google.com/file/d/0B3wuz7S3S9urWDd4enJBSmhob3c/view?usp=sharing
